Symbol,Shares,% Holdings,Type,Price,Price Change,Price Change %,Value,Value Gain/Loss,Value Gain/Loss %,Players Holding
AAPL,"90",1%,BUY,"$213.76","-0.39","-0.18%","$19,238.40","$548.10","2.93%","N/A"
AER,"219",2%,BUY,"$112.01","-0.99","-0.88%","$24,530.19","-$361.35","-1.45%","N/A"
AISP,"2,355",< 1%,SHORT,"$5.71","-0.15","-2.56%","$13,447.05","-$282.60","-2.15%","N/A"
AMZN,"121",2%,BUY,"$232.23","3.94","1.73%","$28,099.83","$3,339.84","13.49%","N/A"
ARM,"1,000",12%,BUY,"$159.99","0.71","0.45%","$159,990.00","$25,140.00","18.64%","N/A"
AVGO,"108",2%,BUY,"$288.71","5.02","1.77%","$31,180.68","$6,711.66","27.43%","N/A"
BMY,"529",2%,BUY,"$48.94","-0.04","-0.08%","$25,889.26","$771.97","3.07%","N/A"
COST,"24.83",2%,BUY,"$933.80","-7.39","-0.79%","$23,186.25","-$1,758.21","-7.05%","N/A"
CRWD,"56",2%,BUY,"$462.03","0.51","0.11%","$25,873.68","$1,127.84","4.56%","N/A"
DAL,"513",2%,BUY,"$54.71","-1.27","-2.27%","$28,066.23","$3,019.01","12.05%","N/A"
DELL,"118",1%,BUY,"$128.35","1.13","0.89%","$15,145.30","$1,699.20","12.64%","N/A"
DINO,"735",2%,BUY,"$43.87","-1.87","-4.09%","$32,244.45","$6,784.05","26.65%","N/A"
DIS,"237",2%,BUY,"$121.95","-0.99","-0.81%","$28,902.15","$3,887.99","15.54%","N/A"
FDX,"114",2%,BUY,"$236.51","-1.39","-0.58%","$26,962.14","$2,027.49","8.13%","N/A"
GLD,"50",1%,BUY,"$310.30","-1.88","-0.60%","$15,515.00","$52.25","0.34%","N/A"
GM,"528",2%,BUY,"$52.34","-0.79","-1.49%","$27,635.52","$2,544.96","10.14%","N/A"
HOOD,"450",3%,BUY,"$101.93","-0.15","-0.15%","$45,868.50","$15,862.50","52.86%","N/A"
MRVL,"180",< 1%,BUY,"$74.04","0.77","1.05%","$13,327.20","$808.20","6.46%","N/A"
NRG,"100",1%,BUY,"$157.97","-2.58","-1.61%","$15,797.00","$16.00","0.10%","N/A"
NUE,"186",2%,BUY,"$141.43","-3.57","-2.46%","$26,305.98","$327.36","1.26%","N/A"
NVDA,"1,027",13%,BUY,"$173.74","2.96","1.73%","$178,430.98","$39,084.30","28.05%","N/A"
NVO,"384",2%,BUY,"$70.73","0.70","1.00%","$27,160.32","$1,440.00","5.60%","N/A"
OXY,"589",2%,BUY,"$44.63","0.19","0.43%","$26,287.07","$1,348.81","5.41%","N/A"
PANW,"133",2%,BUY,"$201.16","1.94","0.97%","$26,754.28","$1,651.86","6.58%","N/A"
PEP,"189",2%,BUY,"$144.51","-1.15","-0.79%","$27,312.39","$2,438.10","9.80%","N/A"
PFE,"1,000",2%,BUY,"$25.35","-0.01","-0.04%","$25,350.00","$2,150.00","9.27%","N/A"
PLTR,"97",1%,BUY,"$154.86","0.23","0.15%","$15,021.42","$2,681.08","21.73%","N/A"
PYPL,"345",2%,BUY,"$77.82","1.16","1.51%","$26,847.90","$1,973.40","7.93%","N/A"
RIO,"3,300",15%,BUY,"$63.83","-0.79","-1.22%","$210,639.00","$16,632.00","8.57%","N/A"
RTX,"194",2%,BUY,"$155.22","-1.27","-0.81%","$30,112.68","$5,124.51","20.51%","N/A"
UPS,"257",2%,BUY,"$102.53","-1.00","-0.97%","$26,350.21","$1,395.51","5.59%","N/A"
WAVE,"10,752",7%,BUY,"$9.15","0.55","6.40%","$98,380.80","$25,501.59","34.99%","N/A"
WMT,"256.2",2%,BUY,"$96.60","0.92","0.96%","$24,748.92","-$66.61","-0.27%","N/A"
XOM,"135",1%,BUY,"$110.79","0.86","0.78%","$14,956.65","$491.40","3.40%","N/A"
