Rank,Date,Cash,Cash Interest,Net Worth,% Return
8,7/23/25,"$0.00","$844.41","$1,269,549.09","26.95%"
8,7/22/25,"$0.00","$844.41","$1,244,632.53","24.46%"
7,7/21/25,"$0.00","$844.41","$1,270,868.78","27.09%"
6,7/20/25,"$0.00","$844.41","$1,277,535.56","27.75%"
6,7/19/25,"$0.00","$844.41","$1,277,688.22","27.77%"
6,7/18/25,"$0.00","$844.41","$1,277,840.85","27.78%"
8,7/17/25,"$0.00","$844.41","$1,275,074.11","27.51%"
7,7/16/25,"$0.00","$844.41","$1,255,356.32","25.54%"
7,7/15/25,"$0.00","$844.41","$1,231,035.50","23.10%"
8,7/14/25,"$0.00","$844.41","$1,210,242.18","21.02%"
9,7/13/25,"$0.00","$844.41","$1,187,169.32","18.72%"
9,7/12/25,"$0.00","$844.41","$1,187,321.83","18.73%"
9,7/11/25,"$0.00","$844.41","$1,187,474.32","18.75%"
5,7/10/25,"$0.00","$844.41","$1,209,856.93","20.99%"
5,7/9/25,"$0.00","$844.41","$1,219,329.91","21.93%"
5,7/8/25,"$0.00","$844.41","$1,191,126.61","19.11%"
5,7/7/25,"$0.00","$844.41","$1,201,539.42","20.15%"
5,7/6/25,"$0.00","$844.41","$1,226,741.88","22.67%"
5,7/5/25,"$0.00","$844.41","$1,226,883.78","22.69%"
5,7/4/25,"$0.00","$844.41","$1,227,025.65","22.70%"
5,7/3/25,"$0.00","$844.41","$1,227,167.50","22.72%"
5,7/2/25,"$0.00","$844.41","$1,182,575.19","18.26%"
5,7/1/25,"$0.00","$844.41","$1,149,684.73","14.97%"
5,6/30/25,"$0.00","$844.41","$1,208,712.73","20.87%"
5,6/29/25,"$0.00","$844.41","$1,196,386.80","19.64%"
5,6/28/25,"$0.00","$844.41","$1,196,528.56","19.65%"
5,6/27/25,"$0.00","$844.41","$1,196,670.30","19.67%"
5,6/26/25,"$0.00","$844.41","$1,202,257.28","20.23%"
5,6/25/25,"$0.00","$844.41","$1,186,328.86","18.63%"
5,6/24/25,"$0.00","$844.41","$1,179,476.99","17.95%"
6,6/23/25,"$0.00","$844.41","$1,130,110.33","13.01%"
7,6/22/25,"$0.00","$844.41","$1,112,437.27","11.24%"
7,6/21/25,"$0.00","$844.41","$1,112,543.04","11.25%"
7,6/20/25,"$0.00","$844.41","$1,112,648.79","11.26%"
7,6/19/25,"$0.00","$844.41","$1,116,635.06","11.66%"
7,6/18/25,"$0.00","$844.41","$1,116,740.79","11.67%"
9,6/17/25,"$0.00","$844.41","$1,091,031.05","9.10%"
14,6/16/25,"$0.00","$844.41","$1,074,011.88","7.40%"
18,6/15/25,"$0.00","$844.41","$1,038,524.38","3.85%"
16,6/14/25,"$0.00","$844.41","$1,038,641.83","3.86%"
16,6/13/25,"$0.00","$844.41","$1,038,759.26","3.88%"
13,6/12/25,"$0.00","$844.41","$1,066,732.08","6.67%"
19,6/11/25,"$0.00","$844.41","$1,056,345.60","5.63%"
16,6/10/25,"$0.00","$844.41","$1,061,547.82","6.15%"
16,6/9/25,"$0.00","$844.41","$1,059,508.83","5.95%"
20,6/8/25,"$0.00","$844.41","$1,034,583.11","3.46%"
20,6/7/25,"$0.00","$844.41","$1,034,628.71","3.46%"
20,6/6/25,"$0.00","$844.41","$1,034,674.31","3.47%"
21,6/5/25,"$0.00","$844.41","$1,013,015.87","1.30%"
10,6/4/25,"$0.00","$844.41","$1,057,891.11","5.79%"
12,6/3/25,"$0.00","$844.41","$1,051,442.18","5.14%"
13,6/2/25,"$0.00","$844.41","$1,033,819.90","3.38%"
13,6/1/25,"$0.00","$844.41","$1,024,073.29","2.41%"
13,5/31/25,"$0.00","$844.41","$1,024,091.39","2.41%"
13,5/30/25,"$0.00","$844.41","$1,024,109.48","2.41%"
12,5/29/25,"$0.00","$844.41","$1,024,640.06","2.46%"
11,5/28/25,"$20,959.87","$841.54","$1,026,807.30","2.68%"
13,5/27/25,"$47,938.46","$834.98","$1,034,358.66","3.44%"
15,5/26/25,"$47,931.89","$828.41","$1,005,170.78","0.52%"
15,5/25/25,"$47,925.33","$821.84","$1,005,164.22","0.52%"
15,5/24/25,"$47,918.76","$815.28","$1,005,157.65","0.52%"
15,5/23/25,"$47,912.20","$808.72","$1,005,151.09","0.52%"
12,5/22/25,"$47,905.64","$802.16","$1,015,380.23","1.54%"
12,5/21/25,"$47,899.07","$795.59","$1,009,054.88","0.91%"
15,5/20/25,"$230,679.20","$763.99","$1,021,298.55","2.13%"
12,5/19/25,"$230,647.60","$732.40","$1,025,191.75","2.52%"
13,5/18/25,"$230,616.01","$700.81","$1,027,106.28","2.71%"
13,5/17/25,"$230,584.43","$669.22","$1,027,074.70","2.71%"
13,5/16/25,"$230,552.84","$637.64","$1,027,043.11","2.70%"
9,5/15/25,"$230,521.26","$606.06","$1,020,858.55","2.09%"
11,5/14/25,"$489,376.95","$539.02","$1,022,783.67","2.28%"
9,5/13/25,"$489,309.92","$471.99","$1,018,909.64","1.89%"
7,5/12/25,"$489,242.90","$404.97","$1,019,557.82","1.96%"
6,5/11/25,"$489,175.89","$337.96","$1,000,493.79","0.05%"
5,5/10/25,"$489,108.89","$270.96","$1,000,426.79","0.04%"
5,5/9/25,"$489,041.90","$203.97","$1,000,359.80","0.04%"
3,5/8/25,"$488,974.92","$136.99","$999,729.45","-0.03%"
0,5/7/25,"$1,000,000.00","$0.00","$1,000,000.00","0.00%"
